course_code,course_name,pid,id,catalog_url
BIOC299,Biochemistry for Non-Majors,Hk6-APpQE,5d1f70aa94e82e2400a23628,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Hk6-APpQE
BIOC300A,General Biochemistry I,rJCZAvpQN,5d1f6e32d2bc1524008cb046,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJCZAvpQN
BIOL150A,Modern Biology,SkE7RwpQ4,5d1f70b689944f24002ad470,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkE7RwpQ4
BIOL184,Evolution and Biodiversity,S1SXRvT74,613eb4dde872572b8c59a5ae,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1SXRvT74
BIOL186,Physiology and Cell Biology,B1UmRDp7V,613ebd3f73306fb87583ddc9,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1UmRDp7V
BIOL215,Principles of Ecology,BkKQAv6X4,5d1f6ea3d2bc1524008cb091,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkKQAv6X4
BIOL225,Principles of Cell Biology,SJxFXRvTXE,5d1f70c9fb68f3240022d32c,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJxFXRvTXE
BIOL230,Principles of Genetics,HJqQAwTX4,5d1f6f68fb68f3240022d231,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJqQAwTX4
BIOL311,Biological Oceanography,ByeEAPTQV,5e500fdbd48ad325008896f8,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ByeEAPTQV
BIOL319,Marine Ecology,ByH4Cv6XE,5d1f67c889944f24002acd20,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ByH4Cv6XE
BIOL321,Survey of Invertebrates,SJI4RD6mV,5d1f6f7a89944f24002ad37c,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJI4RD6mV
BIOL322,Biology of Marine Invertebrates,B1xLN0P6QE,5e50100a7ea20d2500081c05,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1xLN0P6QE
BIOL330,Study Design and Data Analysis,HkdEADp7N,61c9478d5cba7e826212eaef,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkdEADp7N
BIOL335,Ichthyology,HJo4AD67E,5d1f70d594e82e2400a2364b,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJo4AD67E
BIOL355,Evolution,SkgBCDa7E,5d1f70e789944f24002ad49a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkgBCDa7E
BIOL370,Conservation Biology,Sy4SCwTXE,614fa85e7286f1442fca6db7,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Sy4SCwTXE
BIOL418,Forest Ecology,SJl8RPamN,5d1f6ad194e82e2400a231bb,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJl8RPamN
BIOL435,Molecular Evolution,r19IAP67N,6324bf0ed04db11288083474,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r19IAP67N
BIOL438,Nutrient Cycling and Prokaryotes,Byes8CD674,5d1f6ea889944f24002ad2dc,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Byes8CD674
BIOL446,Advanced Aquatic Ecology,HkALCwam4,5d1f717489944f24002ad50a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkALCwam4
BIOL457,Paleoecology and Environmental Change,ByNDCDaX4,5df1371e9c4ef42500f710af,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ByNDCDaX4
BIOL460,Honours Seminar,BkUv0PpXE,5f62e1dd7d1a9b00260869ae,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkUv0PpXE
BIOL461,Fisheries Ecology and Management,HyDv0vaQ4,5d1f6fb289944f24002ad3a3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyDv0vaQ4
BIOL466,Frontiers in Marine Biology,BkOPRP6XN,5d1f6e9f94e82e2400a23494,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkOPRP6XN
BIOL490D,Directed Studies and Research in Marine Biology,SJoDCP6XE,6228f03bfee955904a03ce7e,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJoDCP6XE
BIOL499A,Honours Thesis I,SJZuRvamN,5d1f714dd2bc1524008cb272,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJZuRvamN
BIOL499B,Honours Thesis II,S1G_0DamE,5d1f7029d2bc1524008cb1aa,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1G_0DamE
CHEM091,Introduction to Chemistry,Hk0p0w6XV,5e50238ed48ad3250088989f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Hk0p0w6XV
CHEM101,Fundamentals of Chemistry from Atoms to Materials,r1e06RP6XN,5d781350a50c3624007f55c8,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1e06RP6XN
CHEM102,Chemical Reactivity Fundamentals with Environmental Applications,r11A0D6XN,5f6e45ab4272fc00267b50df,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r11A0D6XN
CHEM150,Engineering Chemistry,BybRRv6XV,5d1f6e3494e82e2400a23437,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BybRRv6XV
CHEM212,Introduction to Quantitative Analysis,Syz0CvTmE,5d1f73d0fb68f3240022d561,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Syz0CvTmE
CHEM225,Introduction to Inorganic Chemistry,BkxoZYT7V,5e1f5d3dd3233b25000fb9f4,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkxoZYT7V
CHEM231,Introduction to Organic Chemistry,HkVACvpXV,5d1f6e3689944f24002ad28a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkVACvpXV
CHEM234,Organic Chemistry with Biological Applications,HJWiWKp7N,5e1f680100547c25005dc721,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJWiWKp7N
CHEM245,Introduction to Thermodynamics,rJrRRvTQV,5d1f753794e82e2400a2394d,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJrRRvTQV
CHEM260,Synthetic Chemistry Laboratory,B1biZYam4,5e1f6a3dd3233b25000fba82,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1biZYam4
CHEM318,Instrumental Techniques of Analysis,SJiA0PTmN,5d1f739689944f24002ad6ab,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJiA0PTmN
CHEM361,Analytical Chemistry Laboratory,BkQkkOTXE,631cdd1287576ea20482079f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkQkkOTXE
CHEM362,Inorganic Chemistry Laboratory,rkXkkOTmE,631cde6847f35a5d452e660a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkXkkOTmE
CHEM363,Organic Chemistry Laboratory,H1N11dTmE,631cdea4f7f5ca478051e5d0,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1N11dTmE
CHEM364,Physical Chemistry Laboratory,Sy4k1O6QV,631cdf6147f35a3b9b2e6614,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Sy4k1O6QV
CHEM499A,Honours Thesis I,Hywx1uamN,5d7817547108752400bcc460,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Hywx1uamN
CHEM499B,Honours Thesis II,HklPgkuaXE,5d78186f588be52400e9efca,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HklPgkuaXE
CSC110,Fundamentals of Programming I,rkgWq1OpQE,5cbdf4e356bbef2400c2efcf,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkgWq1OpQE
CSC111,Fundamentals of Programming with Engineering Applications,rJGckOp7E,5cbdf4e404ce072400155ec0,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJGckOp7E
ES365,Climate and Society,HJ54E_pXN,65adda9abce7bd869a9e71a6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJ54E_pXN
GEOG101A,"Environment, Society and Sustainability",H1bzS_67E,5d1f7386d2bc1524008cb417,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1bzS_67E
GEOG103,Our Natural Earth,SJMzBua7N,654ab4f49d70e6ada910d49b,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJMzBua7N
GEOG104,Our Digital Earth,HkUg06FiH,5f5fde957873070026ccc8a3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkUg06FiH
GEOG130,Climate Change,HkMDtUICD,5ff8d95afb277900267e8424,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkMDtUICD
GEOG209,Environmental Management,BJPfS_pXN,6474ef22c90e02197a2c656b,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJPfS_pXN
GEOG220,Weather and Climate,SJ11EdLRw,5ff8f3d7100d1e00282dabbd,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJ11EdLRw
GEOG222,Introduction to GIS,rJcMHu67V,657a35bb8a5bdc6c8eea9e02,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJcMHu67V
GEOG226,Quantitative Methods in Geography,rJifB_aXE,654ab82479563116634e774f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJifB_aXE
GEOG228,Introduction to Remote Sensing,HkjGruTXE,5e5942c3e62c3f2500a5bc75,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkjGruTXE
GEOG230,Introduction to Environmental Data Analysis,rJW5SdLRP,65a1a4097dbc907bef22234a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJW5SdLRP
GEOG272,Climatology and Hydrology,HJe2GH_67E,657a3849548a3d43a571ecb5,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJe2GH_67E
GEOG319,Remote Sensing of the Environment using Passive Sensors,rklMQBupQV,5dbb2231f99831240039c49b,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rklMQBupQV
GEOG322,Remote Sensing of the Environment using Active Sensors,HyVXru6XE,600089db6aecd000268be426,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyVXru6XE
GEOG328,GIS Analysis,BkL7SOamV,5d1f67bd89944f24002acd13,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkL7SOamV
GEOG329,GIS Applications and Tools,S1DXr_TQ4,657cafe8367f266105fa6aa1,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1DXr_TQ4
GEOG370,Methods in Hydrology,H1cVBupmN,657a4023f8b722df70dbf7cb,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1cVBupmN
GEOG376,Process Geomorphology,SypNB_a7V,657cb1092d647d752957f909,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SypNB_a7V
GEOG418,Advanced Spatial Analysis and Geo-statistics,SkxBHHupXN,5d1f73b189944f24002ad6c1,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkxBHHupXN
GEOG420,Field Studies in Coastal Geomatics,r1ISrOamV,5d1f723089944f24002ad595,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1ISrOamV
GEOG422,Advanced Topics in Remote Sensing,BkvHSupmE,5d1f73b389944f24002ad6c5,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BkvHSupmE
GEOG428,Advanced Topics in Geographic Information Sciences,r1KHB_67N,65a6de336f1ff2579b4c755a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1KHB_67N
GEOG476,Advanced Topics in Geomorphology,SkZvSupQV,657cb206367f2616ecfa6aba,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkZvSupQV
GEOG477,Field Studies in Physical Geography,By-wSupXE,5d1f73be94e82e2400a23854,https://www.uvic.ca/calendar/undergrad/index.php#/courses/By-wSupXE
GEOG499A,Honours Thesis,HyDwHupQV,5e5946336737b12500c22ef1,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyDwHupQV
GEOG499B,Honours Thesis,BJdPru674,5e5946583a898c2500fbf088,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJdPru674
MATH100,Calculus I,ByxQ12d6QE,63168b42bee727d381e640aa,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ByxQ12d6QE
MATH101,Calculus II,r1N1hda7E,5d1f72acd2bc1524008cb36a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1N1hda7E
MATH102,Calculus for Students in the Social and Biological Sciences,ByNynOT7V,651de9ca8d54b2de78bce62c,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ByNynOT7V
MATH109,Introduction to Calculus,B1eB12dam4,63168d043e376f0b1f621ffd,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1eB12dam4
MATH151,Finite Mathematics,SyOk3uTmN,5f2b422ad8086200271ffe25,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SyOk3uTmN
MATH200,Calculus III,rynJnOpQE,5d1f76e5d2bc1524008cb6b4,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rynJnOpQE
MATH202,Intermediate Calculus for CSC and EOS,Sk6kh_am4,5d1f6abafb68f3240022ce99,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Sk6kh_am4
MATH204,Calculus IV,r16khd6X4,5d1f71b694e82e2400a236df,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r16khd6X4
MATH211,Matrix Algebra I,HJ1lndpmN,63168fab578b6df3d6c07ace,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HJ1lndpmN
MATH248,Computer Assisted Mathematics,HyVe3daQV,62ba27622434d348954acfef,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HyVe3daQV
MATH301,Complex Variables,HkLghO6mN,5d1f6e7889944f24002ad2b9,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkLghO6mN
MATH311,Linear Algebra,rkDlhuT7N,5d1f67c494e82e2400a22f89,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkDlhuT7N
MATH341,Nonlinear dynamics and chaos,ryYhBlKTT,65eb75b017ecb24baa1c7e17,https://www.uvic.ca/calendar/undergrad/index.php#/courses/ryYhBlKTT
MATH342,Intermediate Ordinary Differential Equations,rkbW2u6XE,5d1f67c194e82e2400a22f87,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkbW2u6XE
MATH346,Introduction to Partial Differential Equations,Hkfbhda7E,5d1f67c094e82e2400a22f85,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Hkfbhda7E
MATH347,Introduction to Continuous Optimization,rJl5JEpgi,66fc4f95d5fef9b3117cb8b7,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rJl5JEpgi
MATH348,Numerical Methods,B1xG-2_T7E,5fd7df6ee63a160027dc713f,https://www.uvic.ca/calendar/undergrad/index.php#/courses/B1xG-2_T7E
MATH352,Introduction to Probability,S17Z3dTXE,5f514b64be15e20026fac7e3,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S17Z3dTXE
MATH369,Differential Geometry in R3,S1_Wh_TQV,66a8092ee9b6443111582bda,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S1_Wh_TQV
MATH377,Mathematical Modelling,HkqWn_6mV,5e5981d53f906f2500809cf5,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkqWn_6mV
MATH436,Calculus on Manifolds,Bk-z3uamN,66bcefdbbc0ee927a14a5ba9,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Bk-z3uamN
MATH442,Advanced Ordinary Differential Equations,SkfG2uam4,67d342f6dd1a264fe065d083,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SkfG2uam4
MATH449,Scientific Computing,SySG2O67N,5d1f76f9fb68f3240022d7e1,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SySG2O67N
MATH492,Topics in Applied Mathematics,HkTz2dpXN,5d1f6bf0d2bc1524008caea6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkTz2dpXN
PHYS102A,General Physics I,rkEtC_pm4,5c4ffe7b4afbf82400f7adb2,https://www.uvic.ca/calendar/undergrad/index.php#/courses/rkEtC_pm4
PHYS102B,General Physics II,BJVFCOp7N,649a10a781f76f47f32e6507,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJVFCOp7N
PHYS110,Introductory Physics I,r1SYRd67V,63177170cdd330fd06504399,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1SYRd67V
PHYS111,Introductory Physics II,S18Y0d6mE,5c4ffe7d1a3fd924005f028b,https://www.uvic.ca/calendar/undergrad/index.php#/courses/S18Y0d6mE
PHYS120,Physics I,H1vtCd6QV,5c4ffe7e4afbf82400f7adb7,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1vtCd6QV
PHYS130,Physics II,SJYtA_TXE,5c4ffe804afbf82400f7adba,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJYtA_TXE
PHYS210,Introductory Geophysics,BJgttC_T7V,5ffc89cbeba94e0026736fe0,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJgttC_T7V
PHYS215,Introductory Quantum Physics,Sy2t0O6m4,672e74702494ee5aaeb60ea6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Sy2t0O6m4
PHYS216,Introductory Electricity and Magnetism,SJnKR_T74,672e72ab5d32637db2de8479,https://www.uvic.ca/calendar/undergrad/index.php#/courses/SJnKR_T74
PHYS217,Introductory Thermodynamics,BJpKAupXV,672e756d59c3d51f5f823139,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJpKAupXV
PHYS229,Introduction to Experimental Physics,H1gTYAuamN,5c4ffe8536d45224006d156a,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1gTYAuamN
PHYS248,Computer Assisted Physics,HkRt0u67N,62fbe3a90a88d51c787648ba,https://www.uvic.ca/calendar/undergrad/index.php#/courses/HkRt0u67N
PHYS317,Thermodynamics,H1fq0O6XV,5c4ffe8a4afbf82400f7add2,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1fq0O6XV
PHYS321A,Classical Mechanics I,H1X9R_pX4,64dd5c23014e5324314b5789,https://www.uvic.ca/calendar/undergrad/index.php#/courses/H1X9R_pX4
PHYS321B,Classical Mechanics II,BJZIyl-iN,5cc370d4652a942400931175,https://www.uvic.ca/calendar/undergrad/index.php#/courses/BJZIyl-iN
PHYS323,Quantum Mechanics I,Hk45CO6QE,66d222bbe8c0471bec0a6433,https://www.uvic.ca/calendar/undergrad/index.php#/courses/Hk45CO6QE
PHYS325,Optics,r1eNcAupXN,5c4ffe8c1a3fd924005f02b6,https://www.uvic.ca/calendar/undergrad/index.php#/courses/r1eNcAupXN
